Year,match_round,match_home_team,match_away_team,venue_name,match_attendance
1999,1,Adelaide,Western Bulldogs,Football Park,39135
1999,1,Brisbane,St Kilda,Gabba,20172
1999,1,Collingwood,Hawthorn,MCG,48620
1999,1,Essendon,Carlton,MCG,71501
1999,1,Fremantle,West Coast,Subiaco,32680
1999,1,Geelong,North Melbourne,MCG,33674
1999,1,Melbourne,Richmond,MCG,47620
1999,1,Sydney,Port Adelaide,SCG,28264
1999,2,Carlton,Collingwood,MCG,70506
1999,2,Hawthorn,Adelaide,Waverley Park,29135
1999,2,North Melbourne,Essendon,MCG,48383
1999,2,Port Adelaide,Fremantle,Football Park,28384
1999,2,Richmond,Sydney,MCG,40462
1999,2,St Kilda,Melbourne,Waverley Park,37232
1999,2,West Coast,Brisbane,Subiaco,29932
1999,2,Western Bulldogs,Geelong,Ikon Park,22162
1999,3,Adelaide,St Kilda,Football Park,41708
1999,3,Brisbane,Port Adelaide,Gabba,21092
1999,3,Collingwood,West Coast,Victoria Park,19441
1999,3,Essendon,Sydney,MCG,50324
1999,3,Fremantle,Hawthorn,Subiaco,22552
1999,3,Geelong,Melbourne,GMHBA Stadium,27417
1999,3,Richmond,North Melbourne,MCG,46173
1999,3,Western Bulldogs,Carlton,Ikon Park,27649
1999,4,Brisbane,Adelaide,Gabba,21360
1999,4,Carlton,Fremantle,Ikon Park,19100
1999,4,Collingwood,Richmond,MCG,49609
1999,4,Melbourne,Hawthorn,MCG,46289
1999,4,Port Adelaide,Geelong,Football Park,34570
1999,4,St Kilda,Western Bulldogs,Waverley Park,33581
1999,4,Sydney,North Melbourne,SCG,29617
1999,4,West Coast,Essendon,Subiaco,32893
1999,5,Adelaide,Sydney,Football Park,42641
1999,5,Carlton,Geelong,Ikon Park,31189
1999,5,Essendon,Collingwood,MCG,73118
1999,5,Fremantle,Brisbane,Subiaco,24044
1999,5,Hawthorn,West Coast,Waverley Park,27370
1999,5,Melbourne,Port Adelaide,MCG,24533
1999,5,North Melbourne,St Kilda,SCG,11706
1999,5,Western Bulldogs,Richmond,MCG,43043
1999,6,Adelaide,Port Adelaide,Football Park,45615
1999,6,Brisbane,Melbourne,Gabba,21753
1999,6,Collingwood,North Melbourne,MCG,38245
1999,6,Geelong,Hawthorn,GMHBA Stadium,27341
1999,6,Richmond,Essendon,MCG,59458
1999,6,St Kilda,Carlton,MCG,43777
1999,6,Sydney,Fremantle,SCG,24629
1999,6,West Coast,Western Bulldogs,Subiaco,32370
1999,7,Brisbane,Collingwood,Gabba,22023
1999,7,Carlton,Richmond,MCG,52103
1999,7,Fremantle,Geelong,Subiaco,17620
1999,7,Melbourne,Essendon,MCG,51722
