Season,Team,Round.Number,Season.Points,Score.For,Score.Against,Percentage,Ladder.Position
1999,Brisbane Lions,1,4,152,63,2.4126984126984126,1
1999,Essendon,1,4,110,71,1.5492957746478873,2
1999,Port Adelaide,1,4,115,86,1.3372093023255813,3
1999,Hawthorn,1,4,74,59,1.2542372881355932,4
1999,Melbourne,1,4,104,87,1.1954022988505748,5
1999,Footscray,1,4,91,78,1.1666666666666667,6
1999,Geelong,1,4,141,135,1.0444444444444445,7
1999,West Coast,1,4,102,98,1.0408163265306123,8
1999,Fremantle,1,0,98,102,0.9607843137254902,9
1999,North Melbourne,1,0,135,141,0.9574468085106383,10
1999,Adelaide,1,0,78,91,0.8571428571428571,11
1999,Richmond,1,0,87,104,0.8365384615384616,12
1999,Collingwood,1,0,59,74,0.7972972972972973,13
1999,Sydney,1,0,86,115,0.7478260869565218,14
1999,Carlton,1,0,71,110,0.6454545454545455,15
1999,St Kilda,1,0,63,152,0.4144736842105263,16
1999,Essendon,2,8,251,177,1.4180790960451977,1
1999,Port Adelaide,2,8,229,187,1.2245989304812834,2
1999,Geelong,2,8,296,269,1.100371747211896,3
1999,West Coast,2,8,185,171,1.0818713450292399,4
1999,Brisbane Lions,2,4,225,146,1.5410958904109588,5
1999,Hawthorn,2,4,130,119,1.0924369747899159,6
1999,Richmond,2,4,195,200,0.975,7
1999,Footscray,2,4,225,233,0.9656652360515021,8
1999,Carlton,2,4,183,193,0.9481865284974094,9
1999,Adelaide,2,4,138,147,0.9387755102040817,10
1999,Melbourne,2,4,188,217,0.8663594470046083,11
1999,St Kilda,2,4,193,236,0.8177966101694916,12
1999,Fremantle,2,0,199,216,0.9212962962962963,13
1999,North Melbourne,2,0,241,282,0.8546099290780141,14
1999,Sydney,2,0,182,223,0.8161434977578476,15
1999,Collingwood,2,0,142,186,0.7634408602150538,16
1999,Essendon,3,12,400,245,1.6326530612244898,1
1999,Port Adelaide,3,12,332,267,1.243445692883895,2
1999,West Coast,3,12,296,246,1.2032520325203253,3
1999,Geelong,3,12,393,360,1.0916666666666666,4
1999,Hawthorn,3,8,242,197,1.2284263959390862,5
1999,Adelaide,3,8,234,228,1.0263157894736843,6
1999,Carlton,3,8,288,296,0.972972972972973,7
1999,Brisbane Lions,3,4,305,249,1.2248995983935742,8
1999,Footscray,3,4,328,338,0.9704142011834319,9
1999,Richmond,3,4,285,300,0.95,10
1999,North Melbourne,3,4,341,372,0.9166666666666666,11
1999,Melbourne,3,4,279,314,0.8885350318471338,12
1999,St Kilda,3,4,274,332,0.8253012048192772,13
1999,Fremantle,3,0,277,328,0.8445121951219512,14
1999,Collingwood,3,0,217,297,0.7306397306397306,15
1999,Sydney,3,0,250,372,0.6720430107526881,16
1999,West Coast,4,16,393,269,1.4609665427509293,1
1999,Geelong,4,16,508,434,1.1705069124423964,2
1999,Essendon,4,12,423,342,1.236842105263158,3
1999,Port Adelaide,4,12,406,382,1.0628272251308901,4
1999,Carlton,4,12,409,388,1.0541237113402062,5
1999,Brisbane Lions,4,8,420,303,1.386138613861386,6
1999,Hawthorn,4,8,326,282,1.1560283687943262,7
1999,Richmond,4,8,431,396,1.0883838383838385,8
1999,Melbourne,4,8,364,398,0.914572864321608,9
1999,St Kilda,4,8,381,431,0.8839907192575406,10
1999,Adelaide,4,8,288,343,0.8396501457725948,11
1999,Footscray,4,4,427,445,0.9595505617977528,12
1999,North Melbourne,4,4,411,444,0.9256756756756757,13
1999,Sydney,4,4,322,442,0.7285067873303167,14
1999,Fremantle,4,0,369,449,0.821826280623608,15
1999,Collingwood,4,0,313,443,0.7065462753950339,16
1999,West Coast,5,20,487,337,1.4451038575667656,1
1999,Geelong,5,20,623,499,1.248496993987976,2
1999,Essendon,5,16,531,442,1.2013574660633484,3
1999,Brisbane Lions,5,12,528,356,1.4831460674157304,4
1999,Adelaide,5,12,443,417,1.0623501199040768,5
1999,Port Adelaide,5,12,472,472,1,6
1999,Melbourne,5,12,454,464,0.978448275862069,7
1999,Carlton,5,12,474,503,0.9423459244532804,8
1999,Footscray,5,8,570,526,1.0836501901140685,9
1999,Hawthorn,5,8,394,376,1.047872340425532,10
1999,Richmond,5,8,512,539,0.9499072356215214,11
1999,North Melbourne,5,8,503,534,0.9419475655430711,12
1999,St Kilda,5,8,471,523,0.9005736137667304,13
1999,Sydney,5,4,396,597,0.6633165829145728,14
1999,Fremantle,5,0,422,557,0.7576301615798923,15
1999,Collingwood,5,0,413,551,0.7495462794918331,16
1999,West Coast,6,24,611,389,1.570694087403599,1
1999,Essendon,6,20,644,520,1.2384615384615385,2
1999,Geelong,6,20,721,599,1.2036727879799667,3
1999,Brisbane Lions,6,16,621,426,1.4577464788732395,4
1999,Adelaide,6,16,558,504,1.1071428571428572,5
1999,Hawthorn,6,12,494,474,1.0421940928270041,6
1999,North Melbourne,6,12,640,643,0.995334370139969,7
